row.identity,plot,treatment,average,P,test
PE(14:1/15:0);PE(13:0/16:1),O,C,144496.1178,N,
PE(14:1/15:0);PE(13:0/16:1),O,H,105731.6344,N,
PE(15:0/15:0),M,C,3273296.646,N,
PE(15:0/15:0),M,H,3552257.513,N,
PE(15:0/15:0),O,C,2191427.854,N,
PE(15:0/15:0),O,H,3599279.2,N,
PE(15:0/16:0),M,C,1490626.844,N,
PE(15:0/16:0),M,H,1024426.684,N,
PE(15:0/16:0),O,C,948275.5469,N,
PE(15:0/16:0),O,H,1029787.238,N,
PE(15:0/16:1)_A,M,C,10883583.08,N,
PE(15:0/16:1)_A,M,H,8574937.825,N,
PE(15:0/16:1)_A,O,C,7315217.708,N,
PE(15:0/16:1)_A,O,H,8135392.8,N,
PE(15:0/16:1)_B,M,C,1190394.792,N,
PE(15:0/16:1)_B,M,H,877588.9094,N,
PE(15:0/16:1)_B,O,C,927336.3854,N,
PE(15:0/16:1)_B,O,H,858198.9188,N,
PE(15:0/17:0),M,C,3486328.917,N,
PE(15:0/17:0),M,H,3347583.075,N,
PE(15:0/17:0),O,C,1874775.511,N,
PE(15:0/17:0),O,H,2997505.15,N,
PE(15:0/17:1),M,C,5898201.708,N,
PE(15:0/17:1),M,H,5510919.45,N,
PE(15:0/17:1),O,C,3922535.188,N,
PE(15:0/17:1),O,H,4880158.2,N,
PE(15:0/17:1);PE(16:0/16:1),M,C,4783727.833,N,
PE(15:0/17:1);PE(16:0/16:1),M,H,3361228.988,N,
PE(15:0/17:1);PE(16:0/16:1),O,C,3106749.583,N,
PE(15:0/17:1);PE(16:0/16:1),O,H,3345155.25,N,
PE(15:0/18:0);PE(16:0/17:0),M,C,757731.7526,N,
PE(15:0/18:0);PE(16:0/17:0),M,H,1068858.867,N,
PE(15:0/18:0);PE(16:0/17:0),O,C,257042.7839,N,
PE(15:0/18:0);PE(16:0/17:0),O,H,1092489.391,N,
PE(15:1/16:1)_A,M,C,454104.8906,N,
PE(15:1/16:1)_A,M,H,359622.3281,N,
PE(15:1/16:1)_A,O,C,276952.7774,N,
PE(15:1/16:1)_A,O,H,318538.425,N,
PE(15:1/16:1)_B,M,C,323088.6693,N,
PE(15:1/16:1)_B,M,H,178309.4625,N,
PE(15:1/16:1)_B,O,C,210233.2188,N,
PE(15:1/16:1)_B,O,H,158700.7187,N,
PE(15:1/17:1),M,C,831730.862,N,
PE(15:1/17:1),M,H,818042.9328,N,
PE(15:1/17:1),O,C,484517.5573,N,
PE(15:1/17:1),O,H,471262.5344,N,
PE(16:0/17:0),M,C,746681.0573,N,
PE(16:0/17:0),M,H,785429.2141,N,
PE(16:0/17:0),O,C,456814.4766,N,
PE(16:0/17:0),O,H,766821.4813,N,
PE(16:0/17:1),M,C,4432957.125,N,
PE(16:0/17:1),M,H,3147135.875,N,
PE(16:0/17:1),O,C,3039053.167,N,
PE(16:0/17:1),O,H,3206991.85,N,
PE(16:0/18:1);PE(15:0/19:1),M,C,3295706.958,N,
PE(16:0/18:1);PE(15:0/19:1),M,H,2268454.213,N,
PE(16:0/18:1);PE(15:0/19:1),O,C,2066898.375,N,
PE(16:0/18:1);PE(15:0/19:1),O,H,2707829.025,N,
PE(16:0/18:2);PE(16:1/18:1),M,C,2962294.708,N,
PE(16:0/18:2);PE(16:1/18:1),M,H,1616199.928,N,
PE(16:0/18:2);PE(16:1/18:1),O,C,4275332.365,N,
PE(16:0/18:2);PE(16:1/18:1),O,H,1446913.863,N,
PE(16:0/19:1),M,C,2456710.792,N,
PE(16:0/19:1),M,H,2352527.35,N,
PE(16:0/19:1),O,C,1645233.604,N,
PE(16:0/19:1),O,H,2331522.625,N,
PE(16:1/16:1),M,C,6803458.833,N,
PE(16:1/16:1),M,H,4692029.35,N,
PE(16:1/16:1),O,C,4433039.438,N,
PE(16:1/16:1),O,H,4338840.85,N,
PE(16:1/17:0);PE(15:0/18:1),M,C,5121815.875,N,
PE(16:1/17:0);PE(15:0/18:1),M,H,3553078.163,N,
PE(16:1/17:0);PE(15:0/18:1),O,C,2872503.521,N,
PE(16:1/17:0);PE(15:0/18:1),O,H,3386283.775,N,
PE(16:1/17:1)_A,M,C,2635107.708,N,
PE(16:1/17:1)_A,M,H,2079875.538,N,
PE(16:1/17:1)_A,O,C,1692070.292,N,
PE(16:1/17:1)_A,O,H,1804270.838,N,
PE(16:1/17:1)_B,M,C,1209894.313,N,
PE(16:1/17:1)_B,M,H,789771.1313,N,
PE(16:1/17:1)_B,O,C,977503.8698,N,
PE(16:1/17:1)_B,O,H,751720.1,N,
PE(16:1/18:1),M,C,6434936.458,N,
PE(16:1/18:1),M,H,3872335.838,N,
PE(16:1/18:1),O,C,3816350.063,N,
PE(16:1/18:1),O,H,3472595.575,N,
PE(16:1/18:2),M,C,258976.3842,N,
PE(16:1/18:2),M,H,156567.8766,N,
PE(16:1/18:2),O,C,440077.013,N,
PE(16:1/18:2),O,H,152123.1649,N,
PE(16:1/19:1)_B,M,C,637764.8281,N,
PE(16:1/19:1)_B,M,H,523419.7298,N,
PE(16:1/19:1)_B,O,C,392428.3724,N,
PE(16:1/19:1)_B,O,H,574721.375,N,
PE(17:0/17:0),M,C,2088951.167,N,
PE(17:0/17:0),M,H,1982379.506,N,
PE(17:0/17:0),O,C,1409610.125,N,
PE(17:0/17:0),O,H,2007472.363,N,
PE(17:0/18:1),M,C,1886591.448,N,
PE(17:0/18:1),M,H,1927768.25,N,
PE(17:0/18:1),O,C,1136537.385,N,
PE(17:0/18:1),O,H,1602936.606,N,
PE(17:1/17:1),M,C,999224.375,N,
PE(17:1/17:1),M,H,904026.9594,N,
PE(17:1/17:1),O,C,652321.8959,N,
PE(17:1/17:1),O,H,730114.7375,N,
PE(17:1/18:1);PE(16:1/19:1)_A,M,C,1713835.531,N,
PE(17:1/18:1);PE(16:1/19:1)_A,M,H,1322037.884,N,
PE(17:1/18:1);PE(16:1/19:1)_A,O,C,892535.1927,N,
PE(17:1/18:1);PE(16:1/19:1)_A,O,H,1109439.75,N,
PE(17:1/19:1),M,C,4972998.208,N,
PE(17:1/19:1),M,H,3088522.45,N,
PE(17:1/19:1),O,C,3131549.854,N,
PE(17:1/19:1),O,H,2999067.4,N,
PE(18:1/18:1),M,C,11758351.75,N,
PE(18:1/18:1),M,H,9929075,N,
PE(18:1/18:1),O,C,6831352.417,N,
PE(18:1/18:1),O,H,8957986.85,N,
PE(18:1/18:2)_A,M,C,2052559.26,N,
PE(18:1/18:2)_A,M,H,1047898.916,N,
PE(18:1/18:2)_A,O,C,1474896.969,N,
PE(18:1/18:2)_A,O,H,1084495.85,N,
PE(18:1/18:2)_B,M,C,2667948.865,N,
PE(18:1/18:2)_B,M,H,4331397.688,N,
PE(18:1/18:2)_B,O,C,1537061.698,N,
PE(18:1/18:2)_B,O,H,3320848.8,N,
PE(18:1/19:1)_A,M,C,2149760.427,N,
PE(18:1/19:1)_A,M,H,1673345.059,N,
PE(18:1/19:1)_A,O,C,1421266.469,N,
PE(18:1/19:1)_A,O,H,1427700.55,N,
PE(18:1/19:1)_B,M,C,5242309.292,N,
PE(18:1/19:1)_B,M,H,4227928.838,N,
PE(18:1/19:1)_B,O,C,3321787.792,N,
PE(18:1/19:1)_B,O,H,4178131.375,N,
PE(18:2/18:2),M,C,2223335.24,P,PE(18:2/18:2)
PE(18:2/18:2),M,H,1435345.384,P,
PE(18:2/18:2),O,C,3215628.479,P,PE(18:2/18:2)
PE(18:2/18:2),O,H,966815.6063,P,
PE(19:1/19:1),M,C,4004403.438,N,
PE(19:1/19:1),M,H,3873405.288,N,
PE(19:1/19:1),O,C,2934027.104,N,
PE(19:1/19:1),O,H,3667954.125,N,
PE(35:2),M,C,4440856.5,N,
PE(35:2),M,H,2663576.138,N,
PE(35:2),O,C,3040074.313,N,
PE(35:2),O,H,2579219.45,N,
PE(36:1),M,C,964168.1146,N,
PE(36:1),M,H,829367.2,N,
PE(36:1),O,C,575511.8959,N,
PE(36:1),O,H,769434.9438,N,
PE(O-15:0/15:0),M,C,2241152.052,N,
PE(O-15:0/15:0),M,H,2215012.406,N,
PE(O-15:0/15:0),O,C,1205221.896,N,
PE(O-15:0/15:0),O,H,2100913.525,N,
PE(O-15:0/15:1)_A,M,C,1895088.146,N,
PE(O-15:0/15:1)_A,M,H,1646959.028,N,
PE(O-15:0/15:1)_A,O,C,978112.6771,N,
PE(O-15:0/15:1)_A,O,H,1309876.55,N,
PE(O-15:0/15:1)_B,M,C,2169771.313,N,
PE(O-15:0/15:1)_B,M,H,1642568.972,N,
PE(O-15:0/15:1)_B,O,C,747723.9193,N,
PE(O-15:0/15:1)_B,O,H,1164669.538,N,
PE(O-16:0/15:1),M,C,599571.4297,N,
PE(O-16:0/15:1),M,H,472021.7617,N,
PE(O-16:0/15:1),O,C,215329.3825,N,
PE(O-16:0/15:1),O,H,406328.3,N,
PE(O-17:0/17:0),M,C,1612752.448,N,
PE(O-17:0/17:0),M,H,2163806.875,N,
PE(O-17:0/17:0),O,C,911138.4792,N,
PE(O-17:0/17:0),O,H,1734732.744,N,
PE(P-16:0/16:1),M,C,1217880.448,N,
PE(P-16:0/16:1),M,H,984959.7719,N,
PE(P-16:0/16:1),O,C,1066042.01,N,
PE(P-16:0/16:1),O,H,871321.875,N,
PG(15:0/15:0),M,C,396382.1576,N,
PG(15:0/15:0),M,H,210998.1504,N,
PG(15:0/15:0),O,C,375825.2604,N,
PG(15:0/15:0),O,H,221014.7907,N,
PG(15:0/16:0)_A,M,C,241366.8177,N,
PG(15:0/16:0)_A,M,H,164265.917,N,
PG(15:0/16:0)_A,O,C,234432.2982,N,
PG(15:0/16:0)_A,O,H,198104.8953,N,
PG(15:0/16:0)_B,M,C,936556.1432,N,
PG(15:0/16:0)_B,M,H,721292.3617,N,
PG(15:0/16:0)_B,O,C,1122764.018,N,
PG(15:0/16:0)_B,O,H,570232.0938,N,
PG(15:0/16:1)_A,M,C,441451.4935,N,
PG(15:0/16:1)_A,M,H,218470.6941,N,
PG(15:0/16:1)_A,O,C,422926.7409,N,
PG(15:0/16:1)_A,O,H,229793.3094,N,
PG(15:0/16:1)_B,M,C,305312.4906,N,
PG(15:0/16:1)_B,M,H,124424.0744,N,
PG(15:0/16:1)_B,O,C,262522.8737,N,
PG(15:0/16:1)_B,O,H,132071.0414,N,
PG(15:0/17:0),M,C,482072.9896,N,
PG(15:0/17:0),M,H,377539.0469,N,
PG(15:0/17:0),O,C,475929.1315,N,
PG(15:0/17:0),O,H,359859.6594,N,
PG(15:0/17:1),M,C,360320.3724,N,
PG(15:0/17:1),M,H,229803.2592,N,
PG(15:0/17:1),O,C,391573.961,N,
PG(15:0/17:1),O,H,230031.3523,N,
PG(15:0/18:1);PG(16:1/17:0),M,C,601269.6472,N,
PG(15:0/18:1);PG(16:1/17:0),M,H,314498.6766,N,
PG(15:0/18:1);PG(16:1/17:0),O,C,585385.3802,N,
PG(15:0/18:1);PG(16:1/17:0),O,H,313636.8969,N,
PG(16:0/16:0),M,C,254970.9427,N,
PG(16:0/16:0),M,H,168658.9846,N,
PG(16:0/16:0),O,C,324044.1348,N,
PG(16:0/16:0),O,H,191511.9523,N,
PG(16:0/16:1),M,C,930698.6771,N,
PG(16:0/16:1),M,H,574492.5477,N,
PG(16:0/16:1),O,C,979279.3281,N,
PG(16:0/16:1),O,H,571386.7406,N,
PG(16:0/17:0),M,C,180315.6924,N,
PG(16:0/17:0),M,H,112058.1146,N,
PG(16:0/17:0),O,C,195070.9971,N,
PG(16:0/17:0),O,H,155683.1879,N,
PG(16:0/17:1),M,C,409724.9212,N,
PG(16:0/17:1),M,H,209477.893,N,
PG(16:0/17:1),O,C,498882.6667,N,
PG(16:0/17:1),O,H,258597.375,N,
PG(16:0/18:1);PG(16:1/18:0),M,C,1880961.146,N,
