,row.identity,Pvalues,Standardized_Difference_Control_minus_Heated,Actual_Difference_Control_minus_Heated,Control_Average,Heated_Average,soil_type
42,DGTSA(18:0/18:2);DGTSA(18:1/18:1),0.253804615,0.708683936,602223.9917,1507512.417,905288.425,Mineral
129,PG(16:1/19:1);PG(17:1/18:1),0.253983469,0.634787147,89512.10941,202377.5189,112865.4095,Mineral
83,PE(16:0/18:1);PE(15:0/19:1),0.254128418,0.636449196,1027252.746,3295706.958,2268454.213,Mineral
38,DGTSA(16:1/18:2),0.256510414,0.764839157,283255.7165,512036.9968,228781.2803,Mineral
208,DGDG(15:0/15:0),0.2580875,-0.761750262,-58193.30287,195924.2096,254117.5125,Organic
339,TG(48:3),0.263299288,0.676949393,975020.15,3987121.625,3012101.475,Organic
313,PG(16:0/16:0),0.271239297,0.671866341,132532.1824,324044.1348,191511.9523,Organic
1,Cer(d18:0/16:0),0.273913976,0.586702258,187931.463,690401.9115,502470.4485,Mineral
328,PG(19:1/19:1),0.277099512,0.66438147,289480.9656,870061.6406,580580.675,Organic
34,DGTSA(16:0/19:1);DGTSA(16:1/19:0),0.2789274,0.608917155,137312.2938,670133.6407,532821.3469,Mineral
202,DG(16:1/18:1/0:0)_B,0.281654408,0.652204429,68927.94582,266446.8021,197518.8563,Organic
86,PE(16:1/16:1),0.283305999,0.615176311,2111429.483,6803458.833,4692029.35,Mineral
12,DG(18:1/0:0/18:1),0.288138586,0.550480144,467740.3042,2008888.104,1541147.8,Mineral
90,PE(16:1/18:1),0.290517424,0.677460594,2562600.621,6434936.458,3872335.838,Mineral
154,TG(51:1),0.294064862,0.704924622,117326.226,456168.8151,338842.5891,Mineral
41,DGTSA(18:0/18:1),0.295234454,0.706101432,219475.6375,853427.8438,633952.2063,Mineral
89,PE(16:1/17:1)_B,0.297084576,0.598656822,420123.1812,1209894.313,789771.1313,Mineral
353,TG(52:5),0.298981608,0.632605137,156792.9396,902160.9896,745368.05,Organic
269,PE(15:0/18:0);PE(16:0/17:0),0.301151635,-0.764279894,-835446.6068,257042.7839,1092489.391,Organic
322,PG(17:0/17:0),0.305350289,0.623332723,237383.5806,568787.3509,331403.7703,Organic
317,PG(16:0/18:1);PG(16:1/18:0),0.309396031,0.62707393,723465.5615,2242550.536,1519084.975,Organic
148,TG(49:1),0.312505347,0.718040454,229992.1958,714028.2709,484036.075,Mineral
128,PG(16:1/18:1),0.313856,0.564897595,220981.5978,543667.7083,322686.1106,Mineral
331,TG(46:2),0.314305721,0.654001145,108213.4708,650271.4271,542057.9563,Organic
305,PG(15:0/15:0),0.314950154,0.613793254,154810.4698,375825.2604,221014.7907,Organic
377,TG(58:11),0.321273765,0.636185591,35732.53438,154862.7109,119130.1766,Organic
321,PG(16:1/19:1);PG(17:1/18:1),0.32169354,0.605043311,62176.26839,188061.6895,125885.4211,Organic
291,PE(18:1/18:2)_A,0.324816321,0.603448253,390401.1188,1474896.969,1084495.85,Organic
271,PE(15:1/16:1)_B,0.325435505,0.597701902,51532.50002,210233.2188,158700.7187,Organic
324,PG(17:1/19:1),0.328559297,0.60039488,99377.97879,277949.1178,178571.1391,Organic
222,DGTSA(16:0/18:2),0.330578414,0.59836076,2898382.417,9625310.542,6726928.125,Organic
71,PE(15:0/16:0),0.331546268,0.564199309,466200.1594,1490626.844,1024426.684,Mineral
19,DGDG(15:0/18:1),0.331614096,-0.457144061,-70872.96459,306879.2448,377752.2094,Mineral
2,Cer(d18:1/16:0),0.3325347,0.542161873,128176.7068,478127.638,349950.9313,Mineral
277,PE(16:0/19:1),0.333080717,-0.678917215,-686289.0208,1645233.604,2331522.625,Organic
87,PE(16:1/17:0);PE(15:0/18:1),0.33421406,0.571035154,1568737.713,5121815.875,3553078.163,Mineral
97,PE(17:1/19:1),0.341758317,0.611250276,1884475.758,4972998.208,3088522.45,Mineral
32,DGTSA(16:0/18:3)_B,0.341888679,0.683444775,1011934.392,1202091.882,190157.4897,Mineral
135,PG(18:1/19:1),0.349669558,0.48699471,213425.0427,586243.9818,372818.9391,Mineral
359,TG(53:6),0.35131689,-0.582999299,-241233.7203,476004.9922,717238.7125,Organic
302,PE-16:0/15:1),0.352220938,-0.614774938,-190998.9175,215329.3825,406328.3,Organic
301,PE-15:0/15:1)_B,0.354728501,-0.632179385,-416945.6183,747723.9193,1164669.538,Organic
76,PE(15:0/17:1);PE(16:0/16:1),0.358478865,0.528341371,1422498.846,4783727.833,3361228.988,Mineral
73,PE(15:0/16:1)_B,0.362751875,0.465054726,312805.8824,1190394.792,877588.9094,Mineral
39,DGTSA(17:0/17:0),0.369990872,0.530109094,366052,2097422.313,1731370.313,Mineral
123,PG(16:0/17:0),0.37058917,0.526099391,68257.57783,180315.6924,112058.1146,Mineral
311,PG(15:0/17:1),0.375006428,0.539378227,161542.6086,391573.961,230031.3523,Organic
