row m/z,row retention time,row identity,Blanch_Nat_Lip_C_12_AB_M_17_POS,Blanch_Nat_Lip_C_19_AB_O_26_POS,Blanch_Nat_Lip_H_17_AB_O_22_POS,Blanch_Nat_Lip_H_30_AB_M_11_POS,Blanch_Nat_Lip_C_19_AB_M_16_POS,Blanch_Nat_Lip_C_27_AB_O_21_POS,Blanch_Nat_Lip_C_12_AB_O_25_POS,Blanch_Nat_Lip_C_14_AB_M_27_POS,Blanch_Nat_Lip_C_14_AB_O_09_POS,Blanch_Nat_Lip_C_30_AB_M_14_POS,Blanch_Nat_Lip_C_34_AB_O_10_POS,Blanch_Nat_Lip_C_4_AB_M_08_POS,Blanch_Nat_Lip_C_4_AB_O_04_POS,Blanch_Nat_Lip_H_28_AB_M_03_POS,Blanch_Nat_Lip_H_11_AB_M_13_POS,Blanch_Nat_Lip_H_17_AB_M_18_POS,Blanch_Nat_Lip_H_26_AB_M_12_POS,Blanch_Nat_Lip_C_7_AB_M_07_POS,Blanch_Nat_Lip_H_11_AB_O_24_POS,Blanch_Nat_Lip_H_2B_M_02_POS,Blanch_Nat_Lip_H_2_AB_M_23_POS,Blanch_Nat_Lip_H_32_AB_M_20_POS,Blanch_Nat_Lip_H_2_AB_O_15_POS,Blanch_Nat_Lip_H_32_AB_O_19_POS,Blanch_Nat_Lip_H_34_AB_M_01_POS,Blanch_Nat_Lip_H_4_AB_O_06_POS,Blanch_Nat_Lip_H_4_AB_M_05_POS
804.7065848,26.30774691,TG(47:3),96039.35156,266984.2188,270611.5313,167969.0156,184601.0938,176986.8438,242102.1406,315986.625,323961.125,258086.7969,315504.25,272596.5,169548.8438,231673.6719,121372.6641,136810.5625,95059.22656,307157.9063,94740.21875,253674.6406,170442.75,157942.8594,275151.5313,133737.5938,186091.0469,164181.9844,145989.3438
824.7687572,28.15735802,TG(48:0),376163.7188,448973.4063,542004.5,701982.1875,425268.8438,275515.0313,549271.0625,501971.5,697349.375,528876.875,553099.25,1625344.125,176392.9531,712219.25,548388.8125,450710.625,666363.5625,669034.125,335930.5,894036.8125,454615.1875,475337.7813,365435.5313,443364.8438,376261.5625,342280.1875,482725.9688
822.7531972,27.65147531,TG(48:1),2796699.75,2371441.5,2803463,2649268,3349523.25,1687553.375,3611761.25,2305825.25,2659454.75,2950779.75,2141004.75,4679440,1621381.375,2139368,1969706.875,1617029.75,1997645.625,2125535,1425468,1873165.375,2455199.5,1784647.25,3154646,1078640.25,1706389.375,2032564.5,1237638.625
820.7375502,27.14659259,TG(48:2),4785168,4361434.5,5325321.5,5486701,1.13E+07,5590887.5,6773678.5,5601660,4981108,5530543,3504248.75,4763574,2611310.25,1.67E+07,2231211.75,4579038,6153248,4187452.5,2509958.75,2848664.25,3496161.75,2193055.75,6344133,1831306.75,3198789.25,4501156,2290864.25
818.7220324,26.58125309,TG(48:3),1972581.5,3968230.75,3536885,3672575.25,6077426,5737350.5,3528615,5352113,6412046.5,4686346,2466965,2915847.75,1809522,1.13E+07,1243264.625,4208620,3351220.25,3378352.75,2763569.5,3597509.5,3000507,2200810.5,3706864.25,1954718.375,2999885.25,3098470.25,2127299
836.7685423,27.85374074,TG(49:1),351708.8438,328137.9375,589081.8125,482391.0625,333590,501318.3125,400644.8438,454793.5938,531660.75,1616118.375,768146.1875,960795.0625,325196.5938,595972.6875,371355.625,356276,386173.625,567163.75,460963.3438,572764.5,481493.4063,672371.625,437704.125,488870.875,513555,397264.9063,408007.2188
834.7535027,27.27830247,TG(49:2),334048.875,622720.375,873240.5,1058490,395606.25,415874.9375,495627.75,861148.125,712896.5,858931.625,688181.0625,1433730.875,424942.9688,868316.4375,566423.1875,752889.25,465226.0625,544054.875,400223.8438,851297.25,683211.625,718162.375,789126.75,851879.3125,824633.6875,621888.375,685254.9375
850.7842494,28.13057407,TG(50:1),637605.125,563739.6875,776708.4375,907911.5,696763.0625,1321694,955709.75,760491.75,1079252.375,2704878.75,953975.8125,1701464,351562.6875,1476702,643591.9375,676224.6875,1093425.625,1552820.75,816492.5625,693947.75,723589.0625,1437473.75,1092211.5,952612.5,574456.25,938795.75,639250.5
848.7686635,27.65435185,TG(50:2),3580471,2035937.75,2578737.75,1800414.25,5350877,4269993.5,3034587.5,3764576.5,2445575.75,7759045,2394132.75,4185281,1597102.375,9121460,1852474.5,2564147,3183069.75,3665669.5,2448740.25,3086260,2484282.25,3154495.25,3471933,2831506.25,2899442.25,2903498.25,2401154.25
846.7530372,27.19890123,TG(50:3),3000870,1513769,2544290.25,1174624.375,4181662,4584032.5,2176130.25,3229440.75,2293044.25,7073091,1339177.625,2301910.5,1260266.75,6086957,1289504.625,2378345,1556146.125,4718459,2047087.125,4110492,2232121.25,2048886.125,2110168.5,2006494.5,1911980.75,1835459.375,2505052.5
