"","row.identity","charge","type","frequency"
"284","DG(18:1/18:2/0:0)","POS","H_M",1120029.375
"285","DG(18:1/18:2/0:0)","POS","H_M",449794.3125
"286","DG(18:1/18:2/0:0)","POS","H_M",574879.9375
"287","DG(18:1/18:2/0:0)","POS","C_O",954308.4375
"288","DG(18:1/18:2/0:0)","POS","C_O",1139999.375
"289","DG(18:1/18:2/0:0)","POS","C_O",906001.375
"290","DG(18:1/18:2/0:0)","POS","C_O",833043.875
"291","DG(18:1/18:2/0:0)","POS","C_O",1110552.5
"292","DG(18:1/18:2/0:0)","POS","C_O",789814.625
"293","DG(18:1/18:2/0:0)","POS","H_O",684499.625
"294","DG(18:1/18:2/0:0)","POS","H_O",858176
"295","DG(18:1/18:2/0:0)","POS","H_O",960134.5625
"296","DG(18:1/18:2/0:0)","POS","H_O",551899.5625
"297","DG(18:1/18:2/0:0)","POS","H_O",730839.5625
"298","DG(18:2/0:0/18:2)","POS","C_M",1040366.063
"299","DG(18:2/0:0/18:2)","POS","C_M",943477.5625
"300","DG(18:2/0:0/18:2)","POS","C_M",894867.5625
"301","DG(18:2/0:0/18:2)","POS","C_M",955787.9375
"302","DG(18:2/0:0/18:2)","POS","C_M",441920.1563
"303","DG(18:2/0:0/18:2)","POS","C_M",863326.125
"304","DG(18:2/0:0/18:2)","POS","H_M",503723.0938
"305","DG(18:2/0:0/18:2)","POS","H_M",750085.5625
"306","DG(18:2/0:0/18:2)","POS","H_M",317115.8125
"307","DG(18:2/0:0/18:2)","POS","H_M",520424.7813
"308","DG(18:2/0:0/18:2)","POS","H_M",417607.5938
"309","DG(18:2/0:0/18:2)","POS","H_M",424721.5
"310","DG(18:2/0:0/18:2)","POS","H_M",403789.5625
"311","DG(18:2/0:0/18:2)","POS","H_M",865055.9375
"312","DG(18:2/0:0/18:2)","POS","H_M",327110.9063
"313","DG(18:2/0:0/18:2)","POS","H_M",403724.6563
"314","DG(18:2/0:0/18:2)","POS","C_O",1104588.375
"315","DG(18:2/0:0/18:2)","POS","C_O",850786.0625
"316","DG(18:2/0:0/18:2)","POS","C_O",6201968.5
"317","DG(18:2/0:0/18:2)","POS","C_O",1053570.875
"318","DG(18:2/0:0/18:2)","POS","C_O",1502131.625
"319","DG(18:2/0:0/18:2)","POS","C_O",999586.0625
"320","DG(18:2/0:0/18:2)","POS","H_O",897136.25
"321","DG(18:2/0:0/18:2)","POS","H_O",648418.3125
"322","DG(18:2/0:0/18:2)","POS","H_O",1176785
"323","DG(18:2/0:0/18:2)","POS","H_O",559183.8125
"324","DG(18:2/0:0/18:2)","POS","H_O",782194.8125
"325","DGDG(14:0/18:1);DGDG(15:0/17:1)","POS","C_M",548745.125
"326","DGDG(14:0/18:1);DGDG(15:0/17:1)","POS","C_M",641711.6875
"327","DGDG(14:0/18:1);DGDG(15:0/17:1)","POS","C_M",886666.25
"328","DGDG(14:0/18:1);DGDG(15:0/17:1)","POS","C_M",981563.875
"329","DGDG(14:0/18:1);DGDG(15:0/17:1)","POS","C_M",942113.875
"330","DGDG(14:0/18:1);DGDG(15:0/17:1)","POS","C_M",892949.3125
"331","DGDG(14:0/18:1);DGDG(15:0/17:1)","POS","H_M",658161.125
"332","DGDG(14:0/18:1);DGDG(15:0/17:1)","POS","H_M",668611.0625
"333","DGDG(14:0/18:1);DGDG(15:0/17:1)","POS","H_M",779442.5
"334","DGDG(14:0/18:1);DGDG(15:0/17:1)","POS","H_M",581531.8125
"335","DGDG(14:0/18:1);DGDG(15:0/17:1)","POS","H_M",258470.375
"336","DGDG(14:0/18:1);DGDG(15:0/17:1)","POS","H_M",1299464
"337","DGDG(14:0/18:1);DGDG(15:0/17:1)","POS","H_M",873700.375
"338","DGDG(14:0/18:1);DGDG(15:0/17:1)","POS","H_M",998913.4375
"339","DGDG(14:0/18:1);DGDG(15:0/17:1)","POS","H_M",872291.5625
"340","DGDG(14:0/18:1);DGDG(15:0/17:1)","POS","H_M",1268794.5
"341","DGDG(14:0/18:1);DGDG(15:0/17:1)","POS","C_O",612565.25
"342","DGDG(14:0/18:1);DGDG(15:0/17:1)","POS","C_O",642227.25
"343","DGDG(14:0/18:1);DGDG(15:0/17:1)","POS","C_O",328870.2188
"344","DGDG(14:0/18:1);DGDG(15:0/17:1)","POS","C_O",658434.125
"345","DGDG(14:0/18:1);DGDG(15:0/17:1)","POS","C_O",713815.625
"346","DGDG(14:0/18:1);DGDG(15:0/17:1)","POS","C_O",318013
"347","DGDG(14:0/18:1);DGDG(15:0/17:1)","POS","H_O",571587
"348","DGDG(14:0/18:1);DGDG(15:0/17:1)","POS","H_O",475716.1875
"349","DGDG(14:0/18:1);DGDG(15:0/17:1)","POS","H_O",621115.0625
"350","DGDG(14:0/18:1);DGDG(15:0/17:1)","POS","H_O",781692.375
"351","DGDG(14:0/18:1);DGDG(15:0/17:1)","POS","H_O",575784.125
"352","DGDG(15:0/15:0)","POS","C_M",246153.4219
"353","DGDG(15:0/15:0)","POS","C_M",316477.0313
"354","DGDG(15:0/15:0)","POS","C_M",396811.625
"355","DGDG(15:0/15:0)","POS","C_M",475839.9375
"356","DGDG(15:0/15:0)","POS","C_M",414244.625
"357","DGDG(15:0/15:0)","POS","C_M",405817.2188
"358","DGDG(15:0/15:0)","POS","H_M",354638.5938
"359","DGDG(15:0/15:0)","POS","H_M",355771.1875
"360","DGDG(15:0/15:0)","POS","H_M",341152.875
"361","DGDG(15:0/15:0)","POS","H_M",301429.5625
"362","DGDG(15:0/15:0)","POS","H_M",117541.625
"363","DGDG(15:0/15:0)","POS","H_M",734045.4375
"364","DGDG(15:0/15:0)","POS","H_M",402247.0313
"365","DGDG(15:0/15:0)","POS","H_M",491817.2813
"366","DGDG(15:0/15:0)","POS","H_M",389536.125
"367","DGDG(15:0/15:0)","POS","H_M",745105
"368","DGDG(15:0/15:0)","POS","C_O",200530.2344
"369","DGDG(15:0/15:0)","POS","C_O",238514.1406
"370","DGDG(15:0/15:0)","POS","C_O",127202.6328
"371","DGDG(15:0/15:0)","POS","C_O",213640.8125
"372","DGDG(15:0/15:0)","POS","C_O",263827.8125
"373","DGDG(15:0/15:0)","POS","C_O",131829.625
"374","DGDG(15:0/15:0)","POS","H_O",250542.875
"375","DGDG(15:0/15:0)","POS","H_O",140084.8125
"376","DGDG(15:0/15:0)","POS","H_O",243704.6094
"377","DGDG(15:0/15:0)","POS","H_O",396278.1875
"378","DGDG(15:0/15:0)","POS","H_O",239977.0781
"379","DGDG(15:0/16:1)","POS","C_M",165667.5781
"380","DGDG(15:0/16:1)","POS","C_M",176892.5156
"381","DGDG(15:0/16:1)","POS","C_M",181772.7188
"382","DGDG(15:0/16:1)","POS","C_M",324260.5938
"383","DGDG(15:0/16:1)","POS","C_M",415614.4063
"384","DGDG(15:0/16:1)","POS","C_M",240055.7188
"385","DGDG(15:0/16:1)","POS","H_M",219818.7656
"386","DGDG(15:0/16:1)","POS","H_M",194214.2656
"387","DGDG(15:0/16:1)","POS","H_M",174716.0313
"388","DGDG(15:0/16:1)","POS","H_M",121583.4766
"389","DGDG(15:0/16:1)","POS","H_M",125142.25
"390","DGDG(15:0/16:1)","POS","H_M",298430.7188
"391","DGDG(15:0/16:1)","POS","H_M",223992.4219
"392","DGDG(15:0/16:1)","POS","H_M",402671.8125
"393","DGDG(15:0/16:1)","POS","H_M",229444.4844
"394","DGDG(15:0/16:1)","POS","H_M",367171.0313
"395","DGDG(15:0/16:1)","POS","C_O",385747.4688
"396","DGDG(15:0/16:1)","POS","C_O",344883.1875
"397","DGDG(15:0/16:1)","POS","C_O",228083.1563
"398","DGDG(15:0/16:1)","POS","C_O",414267.5625
"399","DGDG(15:0/16:1)","POS","C_O",609030.6875
"400","DGDG(15:0/16:1)","POS","C_O",257714.3438
"401","DGDG(15:0/16:1)","POS","H_O",295407.3125
"402","DGDG(15:0/16:1)","POS","H_O",206606.8281
"403","DGDG(15:0/16:1)","POS","H_O",269801.0313
"404","DGDG(15:0/16:1)","POS","H_O",305713
"405","DGDG(15:0/16:1)","POS","H_O",250591.4688
"406","DGDG(15:0/17:0)","POS","C_M",425526.1563
"407","DGDG(15:0/17:0)","POS","C_M",546324.6875
