"","Control","Heated","pvalues","V4","V5","Diff"
"246","C_O.PE(14:1/15:0);PE(13:0/16:1)","H_O.PE(14:1/15:0);PE(13:0/16:1)",0.115048886741447,144496.117836667,105731.63438,38764.483456667
"352","C_O.PG(16:0/16:1)","H_O.PG(16:0/16:1)",0.11592097835751,979279.328133333,571386.74064,407892.587493333
"173","C_M.TG(53:1)","H_M.TG(53:1)",0.116276808361464,270257.067733333,196740.0047,73517.063033333
"78","C_O.DGTSA(18:0/18:1)","H_O.DGTSA(18:0/18:1)",0.118228286693488,809741.96875,636807.3,172934.66875
"149","C_M.TG(50:1)","H_M.TG(50:1)",0.118622577356801,1342337.23958333,886657.30625,455679.93333333
"103","C_M.PC(16:1/18:1)","H_M.PC(16:1/18:1)",0.120514967865367,3757349.625,2691130.9,1066218.725
"24","C_O.DG(18:2/0:0/18:2)","H_O.DG(18:2/0:0/18:2)",0.120759203411788,1952105.25,812743.6375,1139361.6125
"355","C_M.PG(16:0/17:1)","H_M.PG(16:0/17:1)",0.121480446085922,409724.92122,209477.892973,200247.028247
"179","C_M.TG(53:4)","H_M.TG(53:4)",0.121482912802266,810994.375,624971.39688,186022.97812
"181","C_M.TG(53:5)","H_M.TG(53:5)",0.121985404342469,422645.20835,318898.8047,103746.40365
"233","C_M.TG(60:3)","H_M.TG(60:3)",0.122178851136279,230431.354166667,175442.485936,54988.868230667
"240","C_O.PE(13:0/15:0)","H_O.PE(13:0/15:0)",0.122936938275358,295379.980481667,211069.82814,84310.152341667
"333","C_M.PG(15:0/15:0)","H_M.PG(15:0/15:0)",0.123584517156543,396382.157556667,210998.1504,185384.007156667
"101","C_M.PC(16:1/16:1)","H_M.PC(16:1/16:1)",0.124645608102355,762733.046883333,527098.52344,235634.523443333
"87","C_M.HexCer(d18:2/16:1)_A","H_M.HexCer(d18:2/16:1)_A",0.126648436080785,412742.085966667,322893.10002,89848.985946667
"79","C_M.DGTSA(18:0/18:2);DGTSA(18:1/18:1)","H_M.DGTSA(18:0/18:2);DGTSA(18:1/18:1)",0.126902307580098,1507512.41666667,905288.42501,602223.99165667
"365","C_M.PG(16:1/19:1);PG(17:1/18:1)","H_M.PG(16:1/19:1);PG(17:1/18:1)",0.126991734589764,202377.518888333,112865.409482,89512.109406333
"273","C_M.PE(16:0/18:1);PE(15:0/19:1)","H_M.PE(16:0/18:1);PE(15:0/19:1)",0.127064209233913,3295706.95833333,2268454.2125,1027252.74583333
"71","C_M.DGTSA(16:1/18:2)","H_M.DGTSA(16:1/18:2)",0.128255207063785,512036.996761667,228781.28029,283255.716471667
"144","C_O.TG(48:3)","H_O.TG(48:3)",0.131649643974719,3987121.625,3012101.475,975020.15
"350","C_O.PG(16:0/16:0)","H_O.PG(16:0/16:0)",0.135619648291575,324044.13477,191511.95234,132532.18243
"235","C_M.Cer(d18:0/16:0)","H_M.Cer(d18:0/16:0)",0.136956988128048,690401.911466667,502470.44846,187931.463006667
"380","C_O.PG(19:1/19:1)","H_O.PG(19:1/19:1)",0.138549755870499,870061.640633333,580580.67502,289480.965613333
"63","C_M.DGTSA(16:0/19:1);DGTSA(16:1/19:0)","H_M.DGTSA(16:0/19:1);DGTSA(16:1/19:0)",0.139463699879738,670133.640716667,532821.34689,137312.293826667
"16","C_O.DG(16:1/18:1/0:0)_B","H_O.DG(16:1/18:1/0:0)_B",0.140827203772067,266446.802083333,197518.85626,68927.945823333
"279","C_M.PE(16:1/16:1)","H_M.PE(16:1/16:1)",0.141652999518697,6803458.83333333,4692029.35,2111429.48333333
"19","C_M.DG(18:1/0:0/18:1)","H_M.DG(18:1/0:0/18:1)",0.144069292890233,2008888.10416667,1541147.8,467740.30416667
"287","C_M.PE(16:1/18:1)","H_M.PE(16:1/18:1)",0.145258712190514,6434936.45833333,3872335.8375,2562600.62083333
"157","C_M.TG(51:1)","H_M.TG(51:1)",0.147032430784466,456168.815133333,338842.5891,117326.226033333
"77","C_M.DGTSA(18:0/18:1)","H_M.DGTSA(18:0/18:1)",0.147617226868751,853427.84375,633952.20625,219475.6375
"285","C_M.PE(16:1/17:1)_B","H_M.PE(16:1/17:1)_B",0.148542287936994,1209894.3125,789771.13132,420123.18118
"172","C_O.TG(52:5)","H_O.TG(52:5)",0.149490804025403,902160.989583333,745368.05,156792.939583333
"368","C_O.PG(17:0/17:0)","H_O.PG(17:0/17:0)",0.152675144452867,568787.350928333,331403.770308,237383.580620333
"358","C_O.PG(16:0/18:1);PG(16:1/18:0)","H_O.PG(16:0/18:1);PG(16:1/18:0)",0.154698015316028,2242550.53646667,1519084.975,723465.56146667
"145","C_M.TG(49:1)","H_M.TG(49:1)",0.156252673339904,714028.27085,484036.07501,229992.19584
"363","C_M.PG(16:1/18:1)","H_M.PG(16:1/18:1)",0.156927999960652,543667.708341667,322686.11056,220981.597781667
"128","C_O.TG(46:2)","H_O.TG(46:2)",0.157152860388476,650271.427083333,542057.95626,108213.470823333
"334","C_O.PG(15:0/15:0)","H_O.PG(15:0/15:0)",0.157475076915259,375825.260426667,221014.79066,154810.469766667
"220","C_O.TG(58:11)","H_O.TG(58:11)",0.160636882267803,154862.710946667,119130.176564,35732.534382667
"366","C_O.PG(16:1/19:1);PG(17:1/18:1)","H_O.PG(16:1/19:1);PG(17:1/18:1)",0.160846770186634,188061.68947,125885.42108,62176.26839
"306","C_O.PE(18:1/18:2)_A","H_O.PE(18:1/18:2)_A",0.162408160466078,1474896.96875,1084495.85,390401.11875
"266","C_O.PE(15:1/16:1)_B","H_O.PE(15:1/16:1)_B",0.162717752508373,210233.21876,158700.71874,51532.50002
"372","C_O.PG(17:1/19:1)","H_O.PG(17:1/19:1)",0.164279648483921,277949.117838333,178571.13905,99377.978788333
"56","C_O.DGTSA(16:0/18:2)","H_O.DGTSA(16:0/18:2)",0.165289207054186,9625310.54166667,6726928.125,2898382.41666667
"249","C_M.PE(15:0/16:0)","H_M.PE(15:0/16:0)",0.165773133752494,1490626.84375,1024426.68438,466200.15937
"237","C_M.Cer(d18:1/16:0)","H_M.Cer(d18:1/16:0)",0.166267350178768,478127.638033333,349950.93125,128176.706783333
"281","C_M.PE(16:1/17:0);PE(15:0/18:1)","H_M.PE(16:1/17:0);PE(15:0/18:1)",0.167107029803853,5121815.875,3553078.1625,1568737.7125
"301","C_M.PE(17:1/19:1)","H_M.PE(17:1/19:1)",0.170879158433071,4972998.20833333,3088522.45,1884475.75833333
"59","C_M.DGTSA(16:0/18:3)_B","H_M.DGTSA(16:0/18:3)_B",0.17094433958206,1202091.88151667,190157.489747,1011934.39176967
"377","C_M.PG(18:1/19:1)","H_M.PG(18:1/19:1)",0.174834778794874,586243.981783333,372818.93907,213425.042713333
"259","C_M.PE(15:0/17:1);PE(16:0/16:1)","H_M.PE(15:0/17:1);PE(16:0/16:1)",0.179239432569704,4783727.83333333,3361228.9875,1422498.84583333
"253","C_M.PE(15:0/16:1)_B","H_M.PE(15:0/16:1)_B",0.181375937503613,1190394.79175,877588.90939,312805.88236
"73","C_M.DGTSA(17:0/17:0)","H_M.DGTSA(17:0/17:0)",0.184995436030599,2097422.3125,1731370.3125,366052
"353","C_M.PG(16:0/17:0)","H_M.PG(16:0/17:0)",0.185294585223296,180315.692391667,112058.1145604,68257.577831267
"346","C_O.PG(15:0/17:1)","H_O.PG(15:0/17:1)",0.187503213901864,391573.960956667,230031.352348,161542.608608667
"351","C_M.PG(16:0/16:1)","H_M.PG(16:0/16:1)",0.188128339693238,930698.677083333,574492.547661,356206.129422333
"52","C_O.DGTSA(16:0/16:2)","H_O.DGTSA(16:0/16:2)",0.1892617144993,168644.365916667,131774.44689,36869.919026667
"185","C_M.TG(54:1)","H_M.TG(54:1)",0.191592413857755,482508.89845,365921.96253,116586.93592
"367","C_M.PG(17:0/17:0)","H_M.PG(17:0/17:0)",0.192510407631822,442159.944026667,292748.229705,149411.714321667
"223","C_M.TG(58:3)","H_M.TG(58:3)",0.192738068206742,255677.14065,211979.51409,43697.62656
"335","C_M.PG(15:0/16:0)_A","H_M.PG(15:0/16:0)_A",0.19300708758779,241366.817716667,164265.91699,77100.900726667
"345","C_M.PG(15:0/17:1)","H_M.PG(15:0/17:1)",0.193855787035403,360320.372401667,229803.259188,130517.113213667
"369","C_M.PG(17:0/17:1)","H_M.PG(17:0/17:1)",0.196363637240121,206987.981443333,130725.383506,76262.597937333
"374","C_O.PG(18:0/18:1)","H_O.PG(18:0/18:1)",0.200809330182796,318114.91473,234781.10472,83333.81001
"70","C_O.DGTSA(16:1/18:1)_B","H_O.DGTSA(16:1/18:1)_B",0.205297889812216,688706.411466667,582165.8375,106540.573966667
"349","C_M.PG(16:0/16:0)","H_M.PG(16:0/16:0)",0.214705275142177,254970.942711667,168658.984567,86311.958144667
"133","C_M.TG(47:2)","H_M.TG(47:2)",0.215026679306102,741401.411466667,634622.27501,106779.136456667
"370","C_O.PG(17:0/17:1)","H_O.PG(17:0/17:1)",0.215136906319753,192790.656276667,135297.934392,57492.721884667
"239","C_M.PE(13:0/15:0)","H_M.PE(13:0/15:0)",0.215207985245495,411832.283966667,281535.144544,130297.139422667
"108","C_O.PC(18:1/18:1)_A","H_O.PC(18:1/18:1)_A",0.216422607274039,409640.989616667,359387.22814,50253.761476667
"189","C_M.TG(54:3)","H_M.TG(54:3)",0.216735933719565,16450000,14857617.9,1592382.1
"191","C_M.TG(54:4)","H_M.TG(54:4)",0.222631487588437,13616666.6666667,12462403.1,1154263.5666667
"222","C_O.TG(58:2)","H_O.TG(58:2)",0.227148728821501,304435.3542,256668.19688,47767.15732
"61","C_M.DGTSA(16:0/18:4)","H_M.DGTSA(16:0/18:4)",0.228463925683686,132424.858733333,76049.490624,56375.368109333
"225","C_M.TG(58:9)","H_M.TG(58:9)",0.232583024443234,277162.062516667,242008.49533,35153.567186667
"271","C_M.PE(16:0/17:1)","H_M.PE(16:0/17:1)",0.235023006334582,4432957.125,3147135.875,1285821.25
"360","C_O.PG(16:0/19:1)","H_O.PG(16:0/19:1)",0.236053648657616,751557.386716667,593036.97188,158520.414836667
"96","C_O.PC(0:0/18:1)","H_O.PC(0:0/18:1)",0.236120458512673,231012.520858333,167174.43594,63838.084918333
"344","C_O.PG(15:0/17:0)","H_O.PG(15:0/17:0)",0.237229083089049,475929.1315,359859.6594,116069.4721
"134","C_O.TG(47:2)","H_O.TG(47:2)",0.238970829472976,777465.552083333,662735.56876,114729.983323333
"286","C_O.PE(16:1/17:1)_B","H_O.PE(16:1/17:1)_B",0.240112885879022,977503.8698,751720.10002,225783.76978
"131","C_M.TG(47:1)","H_M.TG(47:1)",0.241721317290675,478552.601583333,395074.8969,83477.704683333
"251","C_M.PE(15:0/16:1)_A","H_M.PE(15:0/16:1)_A",0.244113214391134,10883583.0833333,8574937.825,2308645.2583333
"214","C_O.TG(56:7)","H_O.TG(56:7)",0.248698567861304,368138.19795,339275.02502,28863.17293
"283","C_M.PE(16:1/17:1)_A","H_M.PE(16:1/17:1)_A",0.250706296815747,2635107.70833333,2079875.5375,555232.17083333
"10","C_O.DG(16:0/18:1/0:0)","H_O.DG(16:0/18:1/0:0)",0.252050981002492,625786.802083333,565362.8125,60423.989583333
"97","C_M.PC(15:0/16:1)","H_M.PC(15:0/16:1)",0.255475754286097,692816.192716667,577547.05001,115269.142706667
"82","C_O.DGTSA(18:1/18:1)","H_O.DGTSA(18:1/18:1)",0.25743242960063,5919137.83333333,5252154.7,666983.13333333
"245","C_M.PE(14:1/15:0);PE(13:0/16:1)","H_M.PE(14:1/15:0);PE(13:0/16:1)",0.257891345216131,223083.846366667,164629.736742,58454.109624667
"92","C_O.HexCer(d18:2/18:1)","H_O.HexCer(d18:2/18:1)",0.258364159779809,341106.3594,234968.90628,106137.45312
"309","C_M.PE(18:1/19:1)_A","H_M.PE(18:1/19:1)_A",0.259256635208953,2149760.42708333,1673345.05938,476415.36770333
"311","C_M.PE(18:1/19:1)_B","H_M.PE(18:1/19:1)_B",0.259467226130194,5242309.29166667,4227928.8375,1014380.45416667
"141","C_M.TG(48:2)","H_M.TG(48:2)",0.268098627216239,6028066.25,4917773.4,1110292.85
"95","C_M.PC(0:0/18:1)","H_M.PC(0:0/18:1)",0.270286799046987,271827.536463333,196052.924617,75774.611846333
"343","C_M.PG(15:0/17:0)","H_M.PG(15:0/17:0)",0.270607568808434,482072.9896,377539.046886,104533.942714
"47","C_M.DGTSA(16:0/16:1)_A","H_M.DGTSA(16:0/16:1)_A",0.27167091462697,1133263.94791667,989656.0563,143607.89161667
"291","C_M.PE(16:1/19:1)_B","H_M.PE(16:1/19:1)_B",0.272796270322998,637764.828133333,523419.7298,114345.098333333
"379","C_M.PG(19:1/19:1)","H_M.PG(19:1/19:1)",0.272993781223602,636942.286466667,477221.053925,159721.232541667
