row m/z,row retention time,Name,Blanch_Nat_Lip_C_12_AB_M_17_NEG,Blanch_Nat_Lip_C_19_AB_O_26_NEG,Blanch_Nat_Lip_H_17_AB_O_22_NEG,Blanch_Nat_Lip_H_30_AB_M_11_NEG,Blanch_Nat_Lip_C_14_AB_M_27_NEG,Blanch_Nat_Lip_C_19_AB_M_16_NEG,Blanch_Nat_Lip_C_12_AB_O_25_NEG,Blanch_Nat_Lip_C_30_AB_M_14_NEG,Blanch_Nat_Lip_C_14_AB_O_09_NEG,Blanch_Nat_Lip_C_4_AB_M_08_NEG,Blanch_Nat_Lip_C_7_AB_M_07_NEG,Blanch_Nat_Lip_C_4_AB_O_04_NEG,Blanch_Nat_Lip_H_11_AB_O_24_NEG,Blanch_Nat_Lip_H_11_AB_M_13_NEG,Blanch_Nat_Lip_H_26_AB_M_12_NEG,Blanch_Nat_Lip_C_27_AB_O_21_NEG,Blanch_Nat_Lip_H_17_AB_M_18_NEG,Blanch_Nat_Lip_C_34_AB_O_10_NEG,Blanch_Nat_Lip_H_28_AB_M_03_NEG,Blanch_Nat_Lip_H_2B_M_02_NEG,Blanch_Nat_Lip_H_32_AB_O_19_NEG,Blanch_Nat_Lip_H_2_AB_O_15_NEG,Blanch_Nat_Lip_H_4_AB_O_06_NEG,Blanch_Nat_Lip_H_4_AB_M_05_NEG,Blanch_Nat_Lip_H_2_AB_M_23_NEG,Blanch_Nat_Lip_H_32_AB_M_20_NEG,Blanch_Nat_Lip_H_34_AB_M_01_NEG
733.5019716,15.82177753,PG(15:0/18:1);PG(16:1/17:0),306908.0625,568556.6875,218425.9375,101528.6875,175767.4844,69765.40625,1270685,87003.08594,796268,1091007.25,651521.125,1011573.563,155516.0625,159994.2656,109439.1484,251979.0469,91853.53125,935358.4375,587050.75,538637,223975.8594,1323252.875,365972.4375,112429.6406,288102.0938,284305.7188,56224.25781
721.5019329,16.94050802,PG(16:0/16:0),138243.3281,495598.875,69380.99219,93032.78906,63150.87109,43146.01172,493171.2188,42233.42578,588817.75,544725.3125,211565.3906,442624.5,111965.5625,73739.22656,41192.18359,246142.6406,25493.44336,298848.2188,390271,298600.375,95213.625,654630.1875,240594.8125,51826.69141,137598,205486.2656,20947.375
719.4863353,15.08879025,PG(16:0/16:1),428175.8125,915257.75,326403.5,158270.1875,228145.5,135188.375,1692671,157203,1636380,1894876.375,1164873.375,1253928.375,331305.4688,257815.2344,210888.2188,503617.8125,83306.57031,1621863,1162851.375,983171.25,358859.3125,2500903,724396.25,194458.6719,577285.25,448823.9063,110808.6406
735.5168152,17.06632827,PG(16:0/17:0),124129.2656,289551.3438,86624.41406,43275.69531,30924.55664,20591.74805,409902.9688,23563.81641,241974.3594,314589.5,94843.53906,400981.5313,113562.0234,73400.80469,35575.36328,133199.25,23561.34375,187705.4844,325377.9688,268209.9063,93551.00781,359480.5938,164341.7656,27267.75977,83606.03125,174804.0313,6721.149414
733.5016826,16.45064198,PG(16:0/17:1),239617.7656,476011.0313,135682.0781,60493.48438,94325.04688,86230.97656,1137461.375,45025.77734,784623.9375,943431.5,397453.1875,570805.3125,111515.4922,121618.7891,82904.64844,230700.875,45162.60156,565144.125,495756.5938,364104.5938,138511.6406,785994.8125,260992.875,64831.14063,229816.0781,335724.1875,35471.40625
747.5174001,17.1365687,PG(16:0/18:1);PG(16:1/18:0),775283.625,2417990.75,884352,329735.1563,612230.8125,267870.7188,2969692.25,541111.6875,4094595.25,3217254,2351879,2865336,1353275.25,476200.9375,422890.5625,1561976,213196.1875,3274550.75,2435844.75,3028634,907206.6875,6130516,2506033.5,593995.625,1047708.563,1175199,201802.7813
761.5325694,18.37971685,PG(16:0/19:1),400393.75,550850.0625,299480.7188,138703.6719,282652.5,130134.4453,1151066.125,184241.5469,1101418.375,1020180.625,970981.875,1011602.313,604893.4375,390838.2813,223188.1563,370626,145325.1563,726578.1875,948831.125,1053202,399039.75,1903173,766581,248655.7656,587459.75,701636.25,66976.88281
717.4703019,13.24257414,PG(16:1/16:1),131975.0938,440813.6563,181748.4844,60142.30859,121881.4688,48260.9375,815430.8125,40445.94141,578282.25,703643.625,418415.125,580449.0625,75655.01563,73236.77344,72498.17188,173206.4375,34206.97656,759951,316971.5313,222339.7031,147376.6875,852680.6875,255715.8125,66016,118052.4375,199895.8594,32733.85352
745.5019142,15.28011772,PG(16:1/18:1),296998.25,530815.375,185316.8906,80476,170678.1563,92894.95313,938496.1875,93541.34375,814777.1875,1092457,668702.625,648895.6875,180987.2656,145860.5469,246836.8594,282581,49821.03516,959435.8125,562766.375,504440.1875,221766.3594,1290584.125,386766.375,115927.5313,350256.5938,326052.25,54238.39844
759.5173957,16.65672802,PG(16:1/19:1);PG(17:1/18:1),106350.1875,182649.3438,79913.48438,26746.45898,66688.125,37021,363510.875,44948.51953,284959.25,403523.7188,195050.5938,282628.25,65179.07422,63037.96484,49144.77734,93804.74219,24839.48828,310126.3125,204537.3281,263582.2188,70633.99219,430442.0938,149867.8281,40912.51172,90269.73438,154195.9531,16152.62402
749.5327354,17.83077216,PG(17:0/17:0),323268.2188,620610.625,194609.1406,86694.65625,126596.4063,62057.16797,1389710,83789.16406,707569.125,544697.6875,434428.9063,963397.125,198348.2813,235658.9219,129676.0625,312667.9688,79183.47656,611211.0625,666500.1875,647896.375,230412.6563,957132.25,340972.25,93274.77344,220826.2813,361662.5,27333.64844
747.5175677,16.56527802,PG(17:0/17:1),117303.3047,211849.4063,78571.9375,54647.23828,68268.125,38838.54688,434507.0938,28544.50586,206319.6563,448293.375,190959.25,393667.125,74269.98438,71153.75781,48039.93359,102393.1328,36458.22266,185851.4531,260365.9688,279825.5313,89386.89844,490966.2813,105533.1328,40161.28906,118700.8672,191857.3438,15681.97168
773.5327195,17.92342722,PG(17:1/19:1),162163.7813,257985.875,124068.2109,35390.82813,64190.26172,54513.58203,568133.0625,60206.55078,452360.5625,534026.375,192017,362796.75,142684.625,91462.55469,75617.60156,135665.6719,32230.92188,474057.5313,355357.4375,319716.3125,97433.07031,468873.9688,219063.625,36779.71875,116754.3203,157586.7031,23576.79688
775.5480631,18.96312321,PG(18:0/18:1),173570.9063,307333.4063,155563.3438,84404.28906,150251.5313,49683.55078,445765.8125,150580.8594,515551.2188,456760.5625,437995.625,421674.75,152359.875,117814.9297,102241.25,185315.8125,67912.54688,405004.2188,424100.0938,501816.875,140524.8125,947771.9375,302194.3438,103808.2734,243141.3438,188239.4688,39865.625
773.5328003,17.20511679,PG(18:1/18:1),1510009.5,1693204.5,930292.9375,546199.375,940140.1875,422282.6563,2660882.75,648368.0625,2899478,3574329.75,2918140.75,1948277.125,1206610.125,1154991.25,455866.9375,1041036.438,454290.2188,2482177,3947707.75,5820728,1005220.188,5729446.5,1844083.875,811267.5625,1646347.625,1277434.5,227267.8438
787.5480145,18.48935889,PG(18:1/19:1),342304.9063,756890.6875,265418.9063,91831.39063,190066.8281,101417.9609,1207867.125,149685.2813,1291444.625,878154.375,819746.875,918940.75,366118,187561.1875,140822.375,378551.4063,63278.57031,1038311.75,561701.8125,633141.5625,260729.4531,1581406.625,616295.0625,166233.875,329447.4063,324519.4375,61419.41406
801.5639528,19.67289099,PG(19:1/19:1),479712.5313,743627.5625,384630.9063,109850.5547,227946.0469,101022.5938,1520296.625,146416.3906,1322664.25,824082.625,896490.375,1382664.125,636268.4375,331083.125,194896.2969,512743.8125,137449.4063,760832,917615.5,797968.3125,321107.2188,1951750.5,837981.4375,179009.1563,355821.4688,583666.375,59539.84375
781.4865054,13.73555648,PI(15:0/15:0),104699.6016,525393.5625,57448.83984,30899.33789,27236.60156,30236.05469,1104129.75,17419.1582,654914.5625,762388.5625,517208.9375,1103337.5,125304.7422,72768.77344,60997.38672,233315.8281,10670.93945,337760.6563,397254.2813,341416.5,82356.73438,436966.9688,296771.5938,25345.16797,63825.37891,166320.1094,11575.17285
823.5334805,16.6871406,PI(16:0/17:0),27873.29688,202369.5781,30657.53906,5018.874023,11538.25293,3952.201904,273995.2813,0,240924.4063,90150.38281,113345.7813,257733.125,149852.0938,16642.96484,13696.11328,79689.07031,4287.223145,57417.46875,104350.6953,106273.7031,34110.98438,233928.7344,153701.8281,9533.599609,17027.37305,64249.46875,0
